vinícola,vinho,ano,avaliação,num_avaliações,região,preço,tipo,corpo,acidez,Categoria
Anima Negra,Son Negre,2011.0,4.5,121,Mallorca,228.9,Red,4,3,Vinhos Tintos
Costers del Siurana,Clos de L'Obac,2010.0,4.5,121,Priorato,81.3,Priorat Red,4,3,Vinhos Tintos
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018.0,4.5,117,Ribera del Duero,165.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014.0,4.5,115,Ribera del Duero,54.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Rafael Palacios,As Sortes Val do Bibei Godello,2020.0,4.5,115,Valdeorras,55.0,,0,0,Outros
Martinet,Cami Pesseroles,2010.0,4.5,113,Priorato,131.85,Priorat Red,4,3,Vinhos Tintos
Pago de Los Capellanes,Parcela El Picon Tinto,2015.0,4.5,113,Ribera del Duero,148.39,Ribera Del Duero Red,5,3,Vinhos Tintos
Adama Wines,Tinto,2011.0,4.5,110,Ribera del Duero,39.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Jesus Madrazo,Seleccion Rioja,2015.0,4.5,107,Rioja,67.1,Rioja Red,4,3,Vinhos Tintos
Tinto Pesquera,Millenium Reserva,1996.0,4.5,106,Ribera del Duero,199.45,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Naluar & Acediano,Acediano,2015.0,4.5,104,Ribera del Duero,52.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de Caceres,Gaudium,2016.0,4.5,104,Rioja,34.9,Rioja Red,4,3,Vinhos Tintos
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017.0,4.5,103,Ribera del Duero,75.81,Ribera Del Duero Red,5,3,Vinhos Tintos
Sierra Cantabria,Finca el Bosque,2017.0,4.5,103,Rioja,84.36,Rioja Red,4,3,Vinhos Tintos
Trus,Pico de Luyas,2016.0,4.5,103,Ribera del Duero,47.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Artadi,Grandes Anadas Rioja,2001.0,4.5,103,Rioja,391.65,Rioja Red,4,3,Vinhos Tintos
Juan Gil,Bruto,2019.0,4.5,104,Jumilla,32.5,Monastrell,5,3,Vinhos Tintos
Muga,Aro,2004.0,4.5,102,Rioja,198.0,Rioja Red,4,3,Vinhos Tintos
Mestres,Mas Via Gran Reserva Brut,2004.0,4.5,102,Cava,40.33,Cava,2,3,Vinhos Espumantes
Alvaro Palacios,Les Aubaguetes Priorat,2015.0,4.5,99,Priorato,302.5,Priorat Red,4,3,Vinhos Tintos
Quinta de la Quietud,La Mula de la Quietud,2016.0,4.5,99,Toro,62.0,Toro Red,5,3,Vinhos Tintos
Chivite,Navarra Coleccion 125 Blanco,2018.0,4.5,97,Navarra,49.1,Chardonnay,4,3,Vinhos Brancos
Marques de Murrieta,Dalmau Rioja,2015.0,4.5,97,Rioja,75.0,Rioja Red,4,3,Vinhos Tintos
Enate,Chardonnay Uno,2011.0,4.5,96,Somontano,200.13,Chardonnay,4,3,Vinhos Brancos
Toro Albala,Don PX Vieja Cosecha,1973.0,4.5,95,Montilla-Moriles,113.0,Pedro Ximenez,5,1,Vinhos Fortificados
Bodega Ribas,Ribas de Cabrera,2018.0,4.5,94,Mallorca,68.41,Red,4,3,Vinhos Tintos
Vinas del Cenit,Cenit,2012.0,4.5,92,Tierra del Vino de Zamora,37.5,Tempranillo,4,2,Vinhos Tintos
Artadi,El Carretil,2012.0,4.5,88,Vino de Espana,165.0,Tempranillo,4,2,Vinhos Tintos
Alvaro Palacios,Quinon de Valmira,2016.0,4.5,88,Rioja,415.0,Rioja Red,4,3,Vinhos Tintos
Bodegas Naluar & Acediano,Acediano,2014.0,4.5,87,Ribera del Duero,74.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Mas del Serral,Mas del Serral,2007.0,4.5,82,Penedes,192.16,Sparkling,2,3,Vinhos Espumantes
Cervoles,Estrats,2009.0,4.5,81,Costers del Segre,59.82,Red,4,3,Vinhos Tintos
Anima Negra,Son Negre,2016.0,4.5,81,Mallorca,164.9,Red,4,3,Vinhos Tintos
Diez Merito,Fino Imperial Amontillado 30 Anos,,4.5,81,Jerez Amontillado,94.9,Sherry,4,3,Vinhos Fortificados
Valdespino,Coliseo Amontillado VORS,,4.5,81,Jerez Amontillado,199.0,Sherry,4,3,Vinhos Fortificados
Sierra Cantabria,Finca el Bosque,2018.0,4.5,81,Rioja,85.95,Rioja Red,4,3,Vinhos Tintos
Familia Torres,Grans Muralles,2000.0,4.5,81,Conca de Barbera,125.05,Red,4,3,Vinhos Tintos
Emilio Moro,Malleolus de Valderramiro,2018.0,4.5,82,Ribera del Duero,85.55,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodega Contador (Benjamin Romeo),Contador Rioja,2016.0,4.5,80,Rioja,317.75,Rioja Red,4,3,Vinhos Tintos
Adama Wines,Tinto,2010.0,4.5,79,Ribera del Duero,35.0,Ribera Del Duero Red,5,3,Vinhos Tintos
R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981.0,4.5,78,Rioja Alta,274.95,Rioja White,3,3,Vinhos Brancos
Martinet,Cami Pesseroles,2014.0,4.5,78,Priorato,82.55,Priorat Red,4,3,Vinhos Tintos
Clos Mogador,Priorat,2019.0,4.5,76,Priorato,63.9,Priorat Red,4,3,Vinhos Tintos
Marques de Burgos,8000,2017.0,4.5,75,Ribera del Duero,29.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Vina Sastre,Pesus Ribera del Duero,2009.0,4.5,75,Ribera del Duero,312.6,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mas Alta,La Basseta,2017.0,4.5,75,Priorato,58.95,Priorat Red,4,3,Vinhos Tintos
Artadi,La Poza de Ballesteros,2010.0,4.5,74,Vino de Espana,99.35,Tempranillo,4,2,Vinhos Tintos
Penafiel,Mironia Black Edition Tempranillo,2015.0,4.5,73,Ribera del Duero,49.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mas Alta,La Creu Alta,2015.0,4.5,73,Priorato,234.98,Priorat Red,4,3,Vinhos Tintos
Costers del Siurana,Miserere,2010.0,4.5,74,Priorato,78.5,Priorat Red,4,3,Vinhos Tintos
Muga,Prado Enea Gran Reserva,2015.0,4.5,72,Rioja,56.95,Rioja Red,4,3,Vinhos Tintos
Tobia,Alma Tobia Rioja,2015.0,4.5,72,Rioja,40.0,Rioja Red,4,3,Vinhos Tintos
Tresmano - Tr3smano,Tm,2016.0,4.5,71,Ribera del Duero,100.0,Tempranillo,4,2,Vinhos Tintos
Mas Doix,Doix,2017.0,4.5,71,Priorato,79.9,Priorat Red,4,3,Vinhos Tintos
Sei Solo,Tinto,2012.0,4.5,70,Ribera del Duero,63.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Miguel Merino,La Loma,2017.0,4.5,69,Rioja Alta,38.9,Rioja Red,4,3,Vinhos Tintos
Finca Villacreces,Nebro Ribera del Duero,2011.0,4.5,69,Ribera del Duero,154.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Clos Erasmus,Priorat,2012.0,4.5,69,Priorato,374.66,Priorat Red,4,3,Vinhos Tintos
Artadi,El Carretil,2015.0,4.5,66,Vino de Espana,143.51,Tempranillo,4,2,Vinhos Tintos
Virgen de la Asuncion,El Canto del Angel,2014.0,4.5,66,Ribera del Duero,59.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Artadi,Grandes Anadas Rioja,1998.0,4.5,66,Rioja,467.65,Rioja Red,4,3,Vinhos Tintos
Remirez de Ganuza,Rioja Blanco Reserva,2012.0,4.5,66,Rioja,65.5,Rioja White,3,3,Vinhos Brancos
Remirez de Ganuza,Gran Reserva,2011.0,4.5,65,Rioja,88.5,Rioja Red,4,3,Vinhos Tintos
Romate,Cayetano del Pino Viejisimo Palo Cortado,,4.5,61,Jerez Palo Cortado,25.92,Sherry,4,3,Vinhos Fortificados
Allende,Calvario Rioja,2002.0,4.5,61,Rioja,95.0,Rioja Red,4,3,Vinhos Tintos
Dominio del Aguila,Gran Reserva Penas Aladas,2012.0,4.5,61,Ribera del Duero,559.02,Ribera Del Duero Red,5,3,Vinhos Tintos
Martinet,Cami Pesseroles,2012.0,4.5,60,Priorato,115.85,Priorat Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1969.0,4.5,60,Ribera del Duero,976.83,Ribera Del Duero Red,5,3,Vinhos Tintos
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005.0,4.5,59,Priorato,266.81,Priorat Red,4,3,Vinhos Tintos
Dehesa del Carrizal,Coleccion Privada,2017.0,4.5,59,Dehesa del Carrizal,26.9,Red,4,3,Vinhos Tintos
Tarsus,Finca El Canto,2015.0,4.5,58,Ribera del Duero,89.66,Tempranillo,4,2,Vinhos Tintos
Hacienda Solano,Finca Cascorrales,2016.0,4.5,57,Ribera del Duero,64.3,Ribera Del Duero Red,5,3,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,1987.0,4.5,57,Rioja,190.0,Rioja Red,4,3,Vinhos Tintos
Marques de Grinon,AAA,2004.0,4.5,56,Dominio de Valdepusa,141.2,Red,4,3,Vinhos Tintos
Adama Wines,Tinto,2007.0,4.5,55,Ribera del Duero,32.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Beronia,Rioja Gran Reserva,1994.0,4.5,54,Rioja,61.0,Rioja Red,4,3,Vinhos Tintos
Monte Real,Gran Reserva,1964.0,4.5,54,Rioja,140.0,Rioja Red,4,3,Vinhos Tintos
Toro Albala,Marques de Poley Amontillado Seleccion 1951,1951.0,4.5,53,Montilla-Moriles,169.95,Pedro Ximenez,5,1,Vinhos Fortificados
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014.0,4.5,53,Ribera del Duero,49.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Enate,Reserva Especial,2006.0,4.5,53,Somontano,65.9,Red,4,3,Vinhos Tintos
Divina Proporcion,Platon Tinto,2019.0,4.5,52,Toro,25.9,Toro Red,5,3,Vinhos Tintos
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013.0,4.5,51,Vino de Espana,58.19,Monastrell,5,3,Vinhos Tintos
Dominio del Aguila,Canta la Perdiz,2013.0,4.5,51,Ribera del Duero,295.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016.0,4.5,50,Rioja,35.5,Rioja Red,4,3,Vinhos Tintos
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013.0,4.5,49,Cava,53.7,Cava,2,3,Vinhos Espumantes
Penafiel,Alba de Miros Rueda Verdejo,2019.0,4.5,49,Rueda,9.9,Verdejo,3,3,Vinhos Brancos
Carmelo Rodero,Ribera del Duero TSM,2006.0,4.5,48,Ribera del Duero,40.83,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Cair,Pendon De La Aguilera,2010.0,4.5,47,Ribera del Duero,299.29,Ribera Del Duero Red,5,3,Vinhos Tintos
Valquejigoso,V2 Tinto,2009.0,4.5,49,Madrid,43.68,Red,4,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003.0,4.5,46,Priorato,1372.14,Priorat Red,4,3,Vinhos Tintos
Martinet,Cami Pesseroles,2016.0,4.5,46,Priorato,79.55,Priorat Red,4,3,Vinhos Tintos
Cal Pla,Planots Priorat,2013.0,4.5,46,Priorato,57.0,Priorat Red,4,3,Vinhos Tintos
Veigamoura,Blanco,2013.0,4.5,45,Rias Baixas,14.96,,0,0,Outros
Vizcarra,Celia,2011.0,4.5,44,Ribera del Duero,60.06,Ribera Del Duero Red,5,3,Vinhos Tintos
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2010.0,4.5,44,Ribera del Duero,237.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Clos Erasmus,Priorat,1998.0,4.5,43,Priorato,993.28,Priorat Red,4,3,Vinhos Tintos
Legaris,Calmo,2014.0,4.5,43,Ribera del Duero,71.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Federico Paternina,Gran Reserva,1928.0,4.5,43,Rioja,270.0,Rioja Red,4,3,Vinhos Tintos
Marques de Murrieta,Dalmau Rioja,2000.0,4.5,42,Rioja,48.5,Rioja Red,4,3,Vinhos Tintos
Anima Negra,Son Negre,2005.0,4.5,42,Mallorca,200.0,Red,4,3,Vinhos Tintos
Vinicola Real,Confesor Rioja,2004.0,4.5,42,Rioja,107.5,Rioja Red,4,3,Vinhos Tintos
Bodegas San Roman,Cartago Paraje de Pozo,2016.0,4.5,42,Toro,77.5,Toro Red,5,3,Vinhos Tintos
Losada,La Bienquerida,2019.0,4.5,41,Bierzo,32.9,Mencia,3,3,Vinhos Tintos
Clos d'Agon,Seleccion Especial,2015.0,4.5,40,Cataluna,93.51,Red,4,3,Vinhos Tintos
Sacristia AB,Saca Unica,,4.5,39,Jerez-Xeres-Sherry,96.38,Sherry,4,3,Vinhos Fortificados
Huerta de Albala,Taberner No. 1,2011.0,4.5,38,Cadiz,75.0,Red,4,3,Vinhos Tintos
Uvaguilera Aguilera,Palomero,2010.0,4.5,38,Ribera del Duero,44.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Ysios,Grano a Grano,2017.0,4.5,37,Rioja,75.0,Rioja Red,4,3,Vinhos Tintos
Finca Villacreces,Nebro Ribera del Duero,2015.0,4.5,37,Ribera del Duero,143.38,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,1976.0,4.5,37,Ribera del Duero,195.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dehesa del Carrizal,Petit Verdot,2018.0,4.5,36,Dehesa del Carrizal,20.15,Red,4,3,Vinhos Tintos
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2015.0,4.5,36,Bierzo,1373.66,Red,4,3,Vinhos Tintos
Emilio Hidalgo,Santa Ana Pedro Ximenez 1861,,4.5,36,Jerez-Xeres-Sherry,320.0,Pedro Ximenez,5,1,Vinhos Fortificados
Altos del Terral,Cuvee Julia Ribera del Duero,2011.0,4.5,35,Ribera del Duero,157.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Seleccion,1949.0,4.5,34,Montilla-Moriles,295.0,Pedro Ximenez,5,1,Vinhos Fortificados
Morca,Garnacha,2019.0,4.5,33,Campo de Borja,29.95,Grenache,5,3,Vinhos Tintos
R. Lopez de Heredia,Vina Tondonia Gran Reserva,2001.0,4.5,33,Rioja,187.91,Rioja Red,4,3,Vinhos Tintos
Martinet,Cami Pesseroles,2013.0,4.5,32,Priorato,113.2,Priorat Red,4,3,Vinhos Tintos
Descendientes de J. Palacios,Las Lamas Bierzo (Corullon),2018.0,4.5,32,Bierzo,120.0,Mencia,3,3,Vinhos Tintos
Castillo Perelada,Finca Garbet,2015.0,4.5,32,Emporda,89.9,Syrah,4,3,Vinhos Tintos
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006.0,4.5,32,Rioja,59.25,Rioja Red,4,3,Vinhos Tintos
El Regajal,Galia Clos Santuy,2016.0,4.5,32,Castilla y Leon,89.0,Red,4,3,Vinhos Tintos
Valderiz,Tomas Esteban,2011.0,4.5,32,Ribera del Duero,71.3,Ribera Del Duero Red,5,3,Vinhos Tintos
Jose Pariente,Finca Las Comas Verdejo,2018.0,4.5,32,Rueda,34.5,Verdejo,3,3,Vinhos Brancos
Vega Sicilia,Valbuena 5o,1975.0,4.5,31,Ribera del Duero,195.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Abadia Retuerta,Petit Verdot,2004.0,4.5,31,Sardon de Duero,160.81,Red,4,3,Vinhos Tintos
Amos Baneres,Diables,2018.0,4.5,31,Penedes,38.75,,0,0,Outros
Scala Dei,St Antoni de Scala Dei Priorat,2017.0,4.5,30,Priorato,75.04,Priorat Red,4,3,Vinhos Tintos
Gonzalez-Byass,Anada Palo Cortado 1987,1991.0,4.5,30,Jerez Palo Cortado,230.0,Sherry,4,3,Vinhos Fortificados
Artadi,Valdegines,2019.0,4.5,30,Vino de Espana,40.0,Tempranillo,4,2,Vinhos Tintos
Clos Erasmus,Priorat,2018.0,4.5,30,Priorato,225.0,Priorat Red,4,3,Vinhos Tintos
Bodegas Valdelana,Seda de Oro Reserva,2016.0,4.5,29,Rioja,69.0,Rioja Red,4,3,Vinhos Tintos
Abel Mendoza Monge,Grano a Grano Graciano - Garnacha,2016.0,4.5,29,Rioja,55.14,Grenache,5,3,Vinhos Tintos
Tinto Pesquera,Reserva,1986.0,4.5,29,Ribera del Duero,90.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Amaren,Carraquintana de Amaren,2017.0,4.5,29,Rioja Alavesa,56.5,Rioja Red,4,3,Vinhos Tintos
Anayon,Garnacha Parcela 81 Vinas Viejas,2017.0,4.5,28,Carinena,54.9,Red,4,3,Vinhos Tintos
Castell d'Encus,Saktih,2016.0,4.5,28,Costers del Segre,132.95,Red,4,3,Vinhos Tintos
Gramona,Cava Enoteca Finca de L'Origen Brut Nature,2002.0,4.5,28,Cava,142.0,Cava,2,3,Vinhos Espumantes
Sierra Salinas,Salinas 1237,2014.0,4.5,28,Alicante,53.25,Red,4,3,Vinhos Tintos
Dehesa del Carrizal,Cabernet Sauvignon,2019.0,4.5,27,Dehesa del Carrizal,16.9,Cabernet Sauvignon,4,3,Vinhos Tintos
Vinos Sanz,Finca La Colina Sauvignon Blanc,2021.0,4.5,27,Rueda,13.45,Sauvignon Blanc,3,3,Vinhos Brancos
Cerro San Cristobal,Dominio del Verso Red Blend,2018.0,4.5,27,Condado de Huelva,29.5,Red,0,0,Vinhos Tintos
Altos de Rioja,Altos R Pigeage Nacido en Barrica Blanco,2019.0,4.4,27,Rioja,29.92,Rioja White,0,0,Vinhos Brancos
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2007.0,4.5,26,Priorato,69.0,Priorat Red,0,0,Vinhos Tintos
La Vinya del Vuit,La Vinya del Vuit (8),2015.0,4.5,26,Priorato,73.0,Priorat Red,0,0,Vinhos Tintos
Venus la Universal,Venus de la Figuera,2017.0,4.5,26,Montsant,51.5,Montsant Red,0,0,Vinhos Tintos
Pedralonga,Vendetta,2013.0,4.5,25,Rias Baixas,38.0,Albarino,0,0,Vinhos Brancos
Alion,Ribera del Duero,2009.0,4.4,6395,Ribera del Duero,189.0,Ribera Del Duero Red,0,0,Vinhos Tintos
Pintia,Toro,2011.0,4.4,5732,Toro,39.5,Toro Red,0,0,Vinhos Tintos
Pintia,Toro,2012.0,4.4,5614,Toro,89.9,Toro Red,0,0,Vinhos Tintos
Pintia,Toro,2013.0,4.4,5204,Toro,76.8,Toro Red,0,0,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,2009.0,4.4,5109,Rioja,47.5,Rioja Red,0,0,Vinhos Tintos
Matarromera,Ribera del Duero Reserva,2016.0,4.4,4851,Ribera del Duero,31.5,Ribera Del Duero Red,0,0,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,2011.0,4.4,4625,Rioja,47.95,Rioja Red,0,0,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,2007.0,4.4,4357,Rioja,47.95,Rioja Red,0,0,Vinhos Tintos
Emilio Moro,Malleolus,2018.0,4.4,4121,Ribera del Duero,38.61,Ribera Del Duero Red,0,0,Vinhos Tintos
Muga,Seleccion Especial (Reserva),2016.0,4.4,3589,Rioja,27.9,Rioja Red,0,0,Vinhos Tintos
Matarromera,Ribera del Duero Reserva,2017.0,4.4,3456,Ribera del Duero,37.25,Ribera Del Duero Red,0,0,Vinhos Tintos
Hacienda Monasterio,Cosecha,2016.0,4.4,3406,Ribera del Duero,37.8,Ribera Del Duero Red,0,0,Vinhos Tintos
La Rioja Alta,Rioja Gran Reserva 904,2010.0,4.4,3327,Rioja,61.55,Rioja Red,0,0,Vinhos Tintos
Muga,Prado Enea Gran Reserva,2011.0,4.4,3197,Rioja,43.95,Rioja Red,0,0,Vinhos Tintos
Bodegas Mauro,Red,2018.0,4.4,3095,Castilla y Leon,31.95,Red,0,0,Vinhos Tintos
Abadia Retuerta,Seleccion Especial,2017.0,4.4,3093,Sardon de Duero,25.5,Red,0,0,Vinhos Tintos
Bodegas El Nido,Clio,2014.0,4.4,3089,Jumilla,35.65,Red,0,0,Vinhos Tintos
Dominio de Pingus,Flor de Pingus,2012.0,4.4,2546,Ribera del Duero,125.0,Ribera Del Duero Red,0,0,Vinhos Tintos
Dominio de Pingus,Flor de Pingus,2013.0,4.4,2418,Ribera del Duero,125.0,Ribera Del Duero Red,0,0,Vinhos Tintos
La Rioja Alta,Vina Ardanza Reserva,2015.0,4.4,2370,Rioja,23.0,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2009.0,4.4,2228,Rioja,43.5,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2010.0,4.4,2133,Rioja,24.7,Rioja Red,4,3,Vinhos Tintos
Tomas Postigo,3er Ano Ribera del Duero Tinto,2017.0,4.4,2080,Ribera del Duero,27.4,Ribera Del Duero Red,5,3,Vinhos Tintos
Alion,Ribera del Duero,2007.0,4.4,2053,Ribera del Duero,96.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016.0,4.4,1993,Rioja,37.52,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2011.0,4.4,1949,Rioja,43.95,Rioja Red,4,3,Vinhos Tintos
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2017.0,4.4,1948,Almansa,19.6,Grenache,5,3,Vinhos Tintos
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2004.0,4.4,1943,Rioja,160.0,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2012.0,4.4,1853,Rioja,43.5,Rioja Red,4,3,Vinhos Tintos
Tomas Postigo,3er Ano Ribera del Duero Tinto,2018.0,4.4,1842,Ribera del Duero,27.75,Ribera Del Duero Red,5,3,Vinhos Tintos
Hacienda Monasterio,Cosecha,2018.0,4.4,1777,Ribera del Duero,32.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mauro,Red,2019.0,4.4,1701,Castilla y Leon,29.45,Red,4,3,Vinhos Tintos
Aalto,Tinto,2017.0,4.4,1561,Ribera del Duero,51.53,Ribera Del Duero Red,5,3,Vinhos Tintos
Benjamin de Rothschild - Vega Sicilia,Macan,2010.0,4.4,1519,Rioja,216.0,Rioja Red,4,3,Vinhos Tintos
Alion,Ribera del Duero,2006.0,4.4,1514,Ribera del Duero,119.7,Ribera Del Duero Red,5,3,Vinhos Tintos
Muga,Torre Muga,2006.0,4.4,1475,Rioja,66.73,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2015.0,4.4,1463,Rioja,39.95,Rioja Red,4,3,Vinhos Tintos
Matsu,El Viejo,2018.0,4.4,1438,Toro,32.01,Toro Red,5,3,Vinhos Tintos
Bodegas Valduero,Ribera del Duero Una Cepa I,2016.0,4.4,1372,Ribera del Duero,28.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas San Roman,Tinto,2017.0,4.4,1339,Toro,36.0,Toro Red,5,3,Vinhos Tintos
Marques de Vargas,Hacienda Pradolagar,2015.0,4.4,1326,Rioja,105.12,Rioja Red,4,3,Vinhos Tintos
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2008.0,4.4,1269,Cava,52.5,Cava,2,3,Vinhos Espumantes
Hacienda Monasterio,Cosecha,2017.0,4.4,1266,Ribera del Duero,33.31,Ribera Del Duero Red,5,3,Vinhos Tintos
Remirez de Ganuza,Rioja Reserva,2010.0,4.4,1255,Rioja,73.65,Rioja Red,4,3,Vinhos Tintos
Alto Moncayo,Garnacha,2016.0,4.4,1226,Campo de Borja,33.95,Grenache,5,3,Vinhos Tintos
Remirez de Ganuza,Rioja Reserva,2009.0,4.4,1172,Rioja,74.0,Rioja Red,4,3,Vinhos Tintos
Alion,Ribera del Duero,2005.0,4.4,1166,Ribera del Duero,169.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2018.0,4.4,1158,Almansa,24.8,Grenache,5,3,Vinhos Tintos
Alion,Ribera del Duero,2004.0,4.4,1121,Ribera del Duero,140.84,Ribera Del Duero Red,5,3,Vinhos Tintos
Clos Mogador,Priorat,2014.0,4.4,1104,Priorato,175.5,Priorat Red,4,3,Vinhos Tintos
Vinicola Real,200 Monges Rioja Reserva,2011.0,4.4,1098,Rioja,37.57,Rioja Red,4,3,Vinhos Tintos
Arzuaga,Reserva Ribera del Duero,2016.0,4.4,1087,Ribera del Duero,26.24,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus,2019.0,4.4,1069,Ribera del Duero,28.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mauro,VS,2014.0,4.4,1064,Castilla y Leon,178.0,Tempranillo,4,2,Vinhos Tintos
Hacienda Monasterio,Reserva,2011.0,4.4,1048,Ribera del Duero,78.65,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Flor de Pingus,2008.0,4.4,1047,Ribera del Duero,125.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2016.0,4.4,1039,Rioja,35.9,Rioja Red,4,3,Vinhos Tintos
Pago de Los Capellanes,Reserva Tinto,2017.0,4.4,1040,Ribera del Duero,35.7,Ribera Del Duero Red,5,3,Vinhos Tintos
Aalto,Tinto,2019.0,4.4,1018,Ribera del Duero,33.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mauro,VS,2015.0,4.4,995,Castilla y Leon,60.95,Tempranillo,4,2,Vinhos Tintos
Juan Gil,Jumilla Blue Label,2019.0,4.4,966,Jumilla,21.95,Red,4,3,Vinhos Tintos
Bodegas Tradicion,Palo Cortado Tradicion Vors 30 Years Sherry,,4.4,941,Jerez Palo Cortado,82.5,Sherry,4,3,Vinhos Fortificados
Hacienda Monasterio,Reserva,2014.0,4.4,927,Ribera del Duero,109.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Senorio de San Vicente,San Vicente Rioja,2011.0,4.4,925,Rioja,33.5,Rioja Red,4,3,Vinhos Tintos
Alto Moncayo,Garnacha,2018.0,4.4,915,Campo de Borja,38.95,Grenache,5,3,Vinhos Tintos
Volver,Triga,2016.0,4.4,852,Alicante,34.9,Red,4,3,Vinhos Tintos
Marques de Caceres,Gaudium,2014.0,4.4,827,Rioja,37.8,Rioja Red,4,3,Vinhos Tintos
Bodegas Tradicion,Amontillado Tradicion Vors 30 Years,,4.4,825,Jerez Amontillado,59.9,Sherry,4,3,Vinhos Fortificados
Teso La Monja,Victorino,2016.0,4.4,812,Toro,38.7,Toro Red,5,3,Vinhos Tintos
Clos Mogador,Priorat,2011.0,4.4,809,Priorato,90.0,Priorat Red,4,3,Vinhos Tintos
Clos Mogador,Priorat,2010.0,4.4,799,Priorato,69.79,Priorat Red,4,3,Vinhos Tintos
Lan,Culmen Reserva Rioja,2011.0,4.4,798,Rioja,59.9,Rioja Red,4,3,Vinhos Tintos
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2019.0,4.4,787,Almansa,27.39,Grenache,5,3,Vinhos Tintos
Bodegas Roda,Roda I Reserva Rioja,2005.0,4.4,783,Rioja,93.0,Rioja Red,4,3,Vinhos Tintos
